type sample_L2
pb 15000.0
clip_bound 20.0
log_path log/Alexnet/sample_L2/True/0
train_data data
test_data data
batch_size 64
test_batch_size 64
lr 0.0002
momentum 0.5
no_cuda False
seed 1
log_interval 1
privacy_delta 1e-06
sample_num 500
islog True
is_ratio_list True
num_clients 2
num_rounds 10
epochs 1
ratio_type 0
按照权重分配eps
权重越大,eps越大,噪声越小
device cuda
loading data
load data done
AlexNet(
  (conv1): Sequential(
    (0): Conv2d(3, 96, kernel_size=(6, 6), stride=(1, 1))
    (1): ReLU()
  )
  (conv2): Sequential(
    (0): Conv2d(96, 256, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (conv3): Sequential(
    (0): Conv2d(256, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv4): Sequential(
    (0): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv5): Sequential(
    (0): Conv2d(384, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (dense): Sequential(
    (0): Linear(in_features=9216, out_features=4096, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.5, inplace=False)
    (3): Linear(in_features=4096, out_features=4096, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=4096, out_features=10, bias=True)
  )
)
********start training********
start_round_time 2021-07-04 15:15:51
******client id  0 ******
client_update start
2021-07-04 15:19:22  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 310 ,loss= 1.3439974784851074
2021-07-04 15:19:24  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 320 ,loss= 1.2320553064346313
2021-07-04 15:19:26  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 330 ,loss= 1.2801287174224854
2021-07-04 15:19:28  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 340 ,loss= 0.927868127822876
2021-07-04 15:19:30  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 350 ,loss= 1.3419982194900513
2021-07-04 15:19:32  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 360 ,loss= 1.309228777885437
2021-07-04 15:19:34  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 370 ,loss= 1.267600178718567
2021-07-04 15:19:35  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 380 ,loss= 1.4429502487182617
2021-07-04 15:19:37  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 390 ,loss= 0.9585656523704529
******client id  1 ******
client_update start
2021-07-04 15:19:39  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 10 ,loss= 1.6378984451293945
2021-07-04 15:19:41  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 20 ,loss= 1.6762815713882446
2021-07-04 15:19:43  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 30 ,loss= 1.6178481578826904
2021-07-04 15:19:45  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 40 ,loss= 1.4984980821609497
2021-07-04 15:19:47  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 50 ,loss= 1.7172566652297974
2021-07-04 15:19:49  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 60 ,loss= 1.5071666240692139
2021-07-04 15:19:50  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 70 ,loss= 1.533308506011963
2021-07-04 15:19:52  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 80 ,loss= 1.7387948036193848
